date,eur001mindex,eur002mindex,eur003mindex,eur006mindex,eur009mindex,eusa1fcurncy,eusa2curncy,eusa3curncy,eusa4curncy,eusa5curncy,eusa6curncy,eusa7curncy,eusa8curncy,eusa9curncy,eusa10curncy,eusa12curncy,eusa15curncy,eusa20curncy,eusa30curncy
Jan.99,3.118999958,3.096999884,3.073999882,3.010999918,2.989000082,2.99000001,3.015000105,3.140000105,3.286999941,3.446000099,3.588999987,3.694000006,3.826999903,3.936000109,4.024000168,4.184000015,4.374000072,4.579999924,4.760000229
Feb.99,3.119999886,3.108999968,3.09800005,3.055000067,3.048000097,3.059999943,3.252500057,3.395999908,3.624000072,3.762000084,3.931499958,4.036499977,4.143000126,4.261000156,4.331500053,4.502999783,4.702499866,4.921999931,5.122000217
Mar.99,2.992000103,2.980000019,2.970999956,2.950000048,2.960999966,2.983999968,3.029999971,3.191999912,3.395999908,3.592000008,3.786000013,3.983999968,4.153999805,4.293000221,4.389999866,4.545000076,4.75,4.959000111,5.150000095
Apr.99,2.568000078,2.576999903,2.582999945,2.604000092,2.663000107,2.785000086,2.835999966,3.005000114,3.256000042,3.457000017,3.651000023,3.869999886,4.046000004,4.191999912,4.30700016,4.47300005,4.686999798,4.922999859,5.103000164
May.99,2.565999985,2.572000027,2.578000069,2.595999956,2.663000107,2.802000046,2.946000099,3.165999889,3.369999886,3.589999914,3.796999931,3.996999979,4.175000191,4.328999996,4.441999912,4.631999969,4.856999874,5.092000008,5.236999989
Jun.99,2.635999918,2.650000095,2.66899991,2.822999954,2.858999968,3.198999882,3.369999886,3.710000038,3.930000067,4.139999866,4.320000172,4.489999771,4.630000114,4.760000229,4.849999905,5.010000229,5.21999979,5.400000095,5.519999981
Jul.99,2.632999897,2.661999941,2.690000057,2.969000101,3.03399992,3.462500095,3.686000109,4.053999901,4.335000038,4.539999962,4.71999979,4.894000053,5.040999889,5.157999992,5.243000031,5.393000126,5.563000202,5.688000202,5.752999783
Aug.99,2.605000019,2.65199995,2.697000027,3.079999924,3.171000004,3.560499907,3.782999992,4.140999794,4.413499832,4.639500141,4.836999893,5.071000099,5.236000061,5.350999832,5.431000233,5.59100008,5.796000004,5.931000233,5.971000195
Sep.99,2.584000111,2.651000023,3.085999966,3.125999928,3.211999893,3.652499914,3.914999962,4.300000191,4.585000038,4.793000221,4.994999886,5.178999901,5.337999821,5.449999809,5.532999992,5.684999943,5.887000084,6.010000229,6.025000095
Oct.99,2.861999989,3.480000019,3.490999937,3.539000034,3.630000114,4.012499809,4.195000172,4.542500019,4.800000191,4.985000134,5.135000229,5.264999866,5.364999771,5.440000057,5.494999886,5.610000134,5.764999866,5.90500021,5.914999962
Nov.99,3.506000042,3.447999954,3.447999954,3.471999884,3.61500001,4.032000065,4.262499809,4.552499771,4.787499905,4.952499866,5.117499828,5.260000229,5.380000114,5.465000153,5.525000095,5.639999866,5.795000076,5.920000076,5.945000172
Dec.99,3.171000004,3.263000011,3.338999987,3.519000053,3.694999933,4.204999924,4.460000038,4.78000021,5.045000076,5.204999924,5.355000019,5.480000019,5.59499979,5.690000057,5.760000229,5.885000229,6.034999847,6.114999771,6.135000229
Jan.00,3.305999994,3.40199995,3.492000103,3.681999922,3.878999949,4.387499809,4.622499943,4.962500095,5.224999905,5.412499905,5.5625,5.692500114,5.802499771,5.889999866,5.949999809,6.059999943,6.162499905,6.222499847,6.21999979
Feb.00,3.457999945,3.546000004,3.634000063,3.822999954,3.999000072,4.46750021,4.684999943,4.985000134,5.204999924,5.375,5.534999847,5.675000191,5.775000095,5.864999771,5.925000191,6.014999866,6.085000038,6.125,6.135000229
Mar.00,3.691999912,3.756999969,3.83100009,4.000999928,4.18900013,4.540500164,4.697500229,4.90749979,5.098999977,5.218999863,5.343999863,5.485000134,5.583000183,5.663000107,5.712999821,5.804999828,5.882999897,5.958000183,5.961999893
Apr.00,3.933000088,4.043000221,4.093999863,4.262000084,4.438000202,4.772500038,4.90500021,5.09499979,5.25,5.369999886,5.494999886,5.586999893,5.671999931,5.731999874,5.771999836,5.856999874,5.947000027,6.006999969,6.001999855
May.00,4.252999783,4.347000122,4.453000069,4.664999962,4.852000237,5.166500092,5.295000076,5.420000076,5.510000229,5.585000038,5.644999981,5.691999912,5.744999886,5.782000065,5.804999828,5.873000145,5.927999973,5.965000153,5.97300005
Jun.00,4.416999817,4.462999821,4.546999931,4.78000021,4.901000023,5.227499962,5.320000172,5.449999809,5.53000021,5.59499979,5.664999962,5.730999947,5.790999889,5.837999821,5.875,5.940999985,6.025000095,6.105000019,6.110000134
